0.000,60.000,20.000
0.000,60.000,0.000
5.714,45.000,0.000
11.429,30.000,0.000
17.143,15.000,0.000
17.143,15.000,20.000
34.286,60.000,20.000
34.286,60.000,0.000
28.571,45.000,0.000
22.857,30.000,0.000
17.143,15.000,0.000
17.143,15.000,20.000
48.571,32.143,20.000
48.571,32.143,0.000
74.286,32.143,0.000
74.286,36.429,0.000
72.143,40.714,0.000
70.000,42.857,0.000
65.714,45.000,0.000
59.286,45.000,0.000
55.000,42.857,0.000
50.714,38.571,0.000
48.571,32.143,0.000
48.571,27.857,0.000
50.714,21.429,0.000
55.000,17.143,0.000
59.286,15.000,0.000
65.714,15.000,0.000
70.000,17.143,0.000
74.286,21.429,0.000
74.286,21.429,20.000
86.429,60.000,20.000
86.429,60.000,0.000
86.429,45.000,0.000
86.429,30.000,0.000
86.429,15.000,0.000
86.429,15.000,20.000
107.857,45.000,20.000
107.857,45.000,0.000
97.143,34.286,0.000
86.429,23.571,0.000
86.429,23.571,20.000
95.000,32.143,20.000
95.000,32.143,0.000
110.000,15.000,0.000
110.000,15.000,20.000
120.000,40.714,20.000
120.000,40.714,0.000
117.857,38.571,0.000
120.000,36.429,0.000
122.143,38.571,0.000
120.000,40.714,0.000
120.000,40.714,20.000
120.000,25.714,20.000
120.000,25.714,0.000
117.857,23.571,0.000
120.000,21.429,0.000
122.143,23.571,0.000
120.000,25.714,0.000
120.000,25.714,20.000
297.429,60.000,20.000
297.429,60.000,0.000
321.000,60.000,0.000
308.143,42.857,0.000
314.571,42.857,0.000
318.857,40.714,0.000
321.000,38.571,0.000
323.143,32.143,0.000
323.143,27.857,0.000
321.000,21.429,0.000
316.714,17.143,0.000
310.286,15.000,0.000
303.857,15.000,0.000
297.429,17.143,0.000
295.286,19.286,0.000
293.143,23.571,0.000
293.143,23.571,20.000
361.000,53.571,20.000
361.000,53.571,0.000
358.857,57.857,0.000
352.429,60.000,0.000
348.143,60.000,0.000
341.714,57.857,0.000
337.429,51.429,0.000
335.286,40.714,0.000
335.286,30.000,0.000
337.429,21.429,0.000
341.714,17.143,0.000
348.143,15.000,0.000
350.286,15.000,0.000
356.714,17.143,0.000
361.000,21.429,0.000
363.143,27.857,0.000
363.143,30.000,0.000
361.000,36.429,0.000
356.714,40.714,0.000
350.286,42.857,0.000
348.143,42.857,0.000
341.714,40.714,0.000
337.429,36.429,0.000
335.286,30.000,0.000
335.286,30.000,20.000
375.286,23.571,20.000
375.286,23.571,0.000
373.143,21.429,0.000
371.000,23.571,0.000
373.143,25.714,0.000
375.286,23.571,0.000
375.286,19.286,0.000
371.000,15.000,0.000
371.000,15.000,20.000
0.000,-30.000,20.000
0.000,-30.000,0.000
0.000,-45.000,0.000
0.000,-60.000,0.000
0.000,-75.000,0.000
0.000,-75.000,20.000
0.000,-30.000,20.000
0.000,-30.000,0.000
19.286,-30.000,0.000
25.714,-32.143,0.000
27.857,-34.286,0.000
30.000,-38.571,0.000
30.000,-45.000,0.000
27.857,-49.286,0.000
25.714,-51.429,0.000
19.286,-53.571,0.000
0.000,-53.571,0.000
